id,title,artists,pp_artist,k16_cluster
4mDWsuB31wf2H5rqpiikxH,Kontrollørerne,['Gramsespektrum'],Gramsespektrum,14
1CHL6sjDwpivvA4LE0lsww,King of the Beach,['Wavves'],Wavves,4
2drtd6SptpMJ1KylMQ7mrE,circle the drain,['Soccer Mommy'],Soccer Mommy,4
3VJ8JnA1femj0x5KCcfBpT,bloodstream,['Soccer Mommy'],Soccer Mommy,4
0uprppE9hF4TaIuC2h1Zme,night swimming,['Soccer Mommy'],Soccer Mommy,7
5RsYqAze38BY5vsfKBHr3e,That's What Friends Do,['Spongebob Squarepants'],Spongebob Squarepants,14
6RZmhpvukfyeSURhf4kZ0d,Is It True,['Tame Impala'],Tame Impala,0
04jD0RuJcFyUoG4ttPPFCe,Astral,['Ghost Bath'],Ghost Bath,10
61jPuSarAcUOpHOO19P5er,Hot Saucer,"['Bootsy Collins', 'Musiq Soulchild', 'Big Daddy Kane']",Bootsy Collins / Musiq Soulchild / Big Daddy Kane,14
6zrJLhslleCHby0wbUnvVy,Future Nostalgia,['Dua Lipa'],Dua Lipa,6
2nMOodYNHBAQ3Kc1QNimZU,Cool,['Dua Lipa'],Dua Lipa,2
3AzjcOeAmA57TIOr9zF1ZW,Physical,['Dua Lipa'],Dua Lipa,0
39LLxExYz6ewLAcYrzQQyP,Levitating,['Dua Lipa'],Dua Lipa,2
6DXZiYUbrYgrVIhfX3U9Z2,Pretty Please,['Dua Lipa'],Dua Lipa,0
1nYeVF5vIBxMxfPoL0SIWg,Hallucinate,['Dua Lipa'],Dua Lipa,2
4rPkN1FMzQyFNP9cLUGIIB,Love Again,['Dua Lipa'],Dua Lipa,2
017PF4Q3l4DBUiWoXk4OWT,Break My Heart,['Dua Lipa'],Dua Lipa,3
6uAFJ75WDAoAPyCWJAtvks,Good In Bed,['Dua Lipa'],Dua Lipa,6
0vQcyuMEfRBd21ojZ62N2L,Boys Will Be Boys,['Dua Lipa'],Dua Lipa,0
